אחישׁר;אֲחִישָׁר
אחיתפל;אֲחִיתֹפֶל
אחלב;אַחְלָב
אחלי;אַחְלָי
אחלי;אַחֲלַי
אחלמה;אַחְלָמָה
אחמתא;אַחְמְתָא
אחסבי;אֲחַסְבַּי
אחר;אחר
אחר;אַחֵר
אחר;אַחַר
אחרון;אַחֲרֹון
אחרח;אַחְרַח
אחרחל;אֲחַרְחֵל
אחרי;אַחֲרִי
אחרי;אָחֳרִי
אחרין;אָחֳרֵין
אחרית;אַחֲרִית
אחרן;אָחֳרָן
אחרנית;אֲחֹרַנִּית
אחשׁדרפן;אֲחַשְׁדַּרְפַּן
אחשׁורושׁ;אֲחַשְׁוֵרֹושׁ
אחשׁתרן;אֲחַשְׁתְּרָן
אט;אַט
אטד;אָטָד
אטון;אֵטוּן
אטים;אִטִּים
אטם;אטם
אטר;אטר
אטר;אִטֵּר
אטר;אָטֵר
אי;אִי
אי;אֵי
איב;איב
איבה;אֵיבָה
איד;אֵיד
איה;אַיֵּה
איה;אַיָּה
איוב;אִיֹּוב
איזבל;אִיזֶבֶל
איך;אֵיךְ
איכבוד;אִיכָבֹוד
איכה;אֵיכָה
איכה;אֵיכֹה
איככה;אֵיכָכָה
איל;אֱיָל
איל;אַיִל
איל;אַיָּל
איל פארן;אֵיל פָּארָן
אילה;אַיָּלָה
אילו;אִילֹו
אילון;אֵילֹון
אילון;אַיָּלֹון
אילון בית חנן;אֵילֹון בֵּית חָנָן
אילות;אֱיָלוּת
אילות;אֵילֹות
אילם;אֵילִם
אילם;אֵילָם
אילן;אִילָן
אילת;אֵילַת
אים;אָיֹם
אימה;אֵימָה
אימים;אֵימִים
אימתני;אֵימְתָנִי
אין;אִין
אין;אַיִן
איעזר;אִיעֶזֶר
איעזרי;אִיעֶזְרִי
איפה;אֵיפָה
איפה;אֵיפֹה
אישׁ בשׁת;אִישׁ־בֹּשֶׁת
אישׁהוד;אִישְׁהֹוד
אישׁון;אִישֹׁון
איתון;אִיתֹון
איתי;אִיתַי
איתיאל;אִיתִיאֵל
איתמר;אִיתָמָר
איתן;אֵיתָן
אך;אַךְ
אכד;אַכַּד
אכזב;אַכְזָב
אכזיב;אַכְזִיב
אכזר;אַכְזָר
אכזרי;אַכְזָרִי
אכזריות;אַכְזְרִיּוּת
אכילה;אֲכִילָה
אכישׁ;אָכִישׁ
אכל;אכל
אכל;אֹכֶל
אכל;אֻכָל
אכלה;אָכְלָה
אכן;אָכֵן
אכף;אכף
אכף;אֶכֶף
אכר;אִכָּר
אכשׁף;אַכְשָׁף
אל;אֵל
אל ברית;אֵל בְּרִית
אלא;אֵלָא
אלגבישׁ;אֶלְגָּבִישׁ
אלגומים;אַלְגּוּמִּים
אלדד;אֶלְדָּד
אלדעה;אֶלְדָּעָה
אלה;אלה
